Greek (raw TSV),Normalized variants (keys),English from TSV
Το βούτυρο,βουτυρο,Uploaded
Η μπανάνα,μπανανα,Uploaded
Το αυγό,αυγο,Uploaded
Το μπάνιο,μπανιο,Uploaded
Η μέρα,μερα,Uploaded
Το ποτήρι,ποτηρι,Uploaded
Το πιάτο,πιατο,Uploaded
Ο μήνας,μηνας,Uploaded
Με,με,Uploaded
Ή,η,Uploaded
Το εισιτήριο,εισιτηριο,Uploaded
Η κουζίνα,κουζινα,Uploaded
Το μαχαίρι,μαχαιρι,Uploaded
Το πιρούνι,πιρουνι,Uploaded
Το κουτάλι,κουταλι,Uploaded
Το παράθυρο,παραθυρο,Uploaded
Το διαμέρισμα,διαμερισμα,Uploaded
Πόσων χρονών είσαι;,ποσων χρονων εισαι,Uploaded
Είναι ανοιχτή η τράπεζα;,ειναι ανοιχτη; τραπεζα,Uploaded
Μαθαίνω,μαθαινω,Uploaded
Ο καιρός,καιρος,Uploaded
Εγώ,εγω,Uploaded
Εσύ,εσυ,Uploaded
Αυτός / αυτή / αυτό,αυτη; αυτο; αυτος,Uploaded
Εμείς,εμεις,Uploaded
Εσείς,εσεις,Uploaded
Αυτοί / αυτές / αυτά,αυτα; αυτες; αυτοι,Uploaded
Το πορτοκάλι,πορτοκαλι,Uploaded
Το μήλο,μηλο,Uploaded
Το αχλάδι,αχλαδι,Uploaded
Το δαμάσκηνο,δαμασκηνο,Uploaded
Η καρύδα,καρυδα,Uploaded
Το σταφύλι,σταφυλι,Uploaded
Τα ρούχα,ρουχα,Uploaded
Το κοστούμι,κοστουμι,Uploaded
Το κασκόλ,κασκολ,Uploaded
Το πουλόβερ,πουλοβερ,Uploaded
Το παντελόνι,παντελονι,Uploaded
Η τσάντα,τσαντα,Uploaded
Το καπέλο,καπελο,Uploaded
Η ζώνη,ζωνη,Uploaded
Η κάλτσα,καλτσα,Uploaded
Ένα ζευγάρι κάλτσες,ενα ζευγαρι καλτσες,Uploaded
Το μπλουζάκι,μπλουζακι,Uploaded
Η μπότα / μπότες,μποτα; μποτες,Uploaded
Το πουκάμισο,πουκαμισο,Uploaded
Το παπούτσι,παπουτσι,Uploaded
Ένα ζευγάρι παπούτσια,ενα ζευγαρι παπουτσια,Uploaded
Το μπουφάν,μπουφαν,Uploaded
Τα γυαλιά,γυαλια,Uploaded
Η φούστα,φουστα,Uploaded
Το φόρεμα,φορεμα,Uploaded
Το παλτό,παλτο,Uploaded
Η γραβάτα,γραβατα,Uploaded
Το σακάκι,σακακι,Uploaded
Το κουμπί,κουμπι,Uploaded
Το γιλέκο,γιλεκο,Uploaded
Η μπλούζα,μπλουζα,Uploaded
Το φανελάκι,φανελακι,Uploaded
Τα εσώρουχα,εσωρουχα,Uploaded
Το σορτς,σορτς,Uploaded
Το καλσόν,καλσον,Uploaded
Μονόκλινο,μονοκλινο,Uploaded
Δίκλινο,δικλινο,Uploaded
Το κρεβάτι,κρεβατι,Uploaded
Το ψυγείο,ψυγειο,Uploaded
Το ντους,ντους,Uploaded
Το πρωινό,πρωινο,Uploaded
Η θέα,θεα,Uploaded
Ο όροφος,οροφος,Uploaded
Το ασανσέρ,ασανσερ,Uploaded
Τρίτος / τρίτη / τρίτο,τριτη; τριτο; τριτος,Uploaded
Τέταρτος / τέταρτη / τέταρτο,τεταρτη; τεταρτο; τεταρτος,Uploaded
Πέμπτος / πέμπτη / πέμπτο,πεμπτη; πεμπτο; πεμπτος,Uploaded
Το κλειδί,κλειδι,Uploaded
Μπλε,μπλε,Uploaded
Ροζ,ροζ,Uploaded
Μπεζ,μπεζ,Uploaded
Μοβ,μοβ,Uploaded
Μαύρος / μαύρη / μαύρο,μαυρη; μαυρο; μαυρος,Uploaded
Ο υπάλληλος,υπαλληλος,Uploaded
Η τιμή,τιμη,Uploaded
Νέος / νέα / νέο,νεα; νεο; νεος,Uploaded
Αστείος / αστεία / αστείο,αστεια; αστειο; αστειος,Uploaded
Θα (θα κάνω / θα είμαι),θα (θα κανω; θα ειμαι,Uploaded
Τρώω,τρωω,Uploaded
Βλέπω τηλεόραση,βλεπω τηλεοραση,Uploaded
Το χρώμα,χρωμα,Uploaded
Κάθε,καθε,Uploaded
Βλέπω,βλεπω,Uploaded
Ωραίος / ωραία / ωραίο,ωραια; ωραιο; ωραιος,Uploaded
Ο / η ηθοποιός,ηθοποιος; ο,Uploaded
Τον / την βλέπεις;,την βλεπεις; τον,Uploaded
Πίνω,πινω,Uploaded
