Greek (raw from TSV),Greek (normalized key),English (from TSV)
Πλούσιος / πλούσια / πλούσιο,πλουσιος / πλουσια / πλουσιο,Uploaded
Κρύος /κρύα / κρύο,κρυος /κρυα / κρυο,Uploaded
Καινούργιος /καινούργια / καινούργιο,καινουργιος /καινουργια / καινουργιο,Uploaded
Φτηνός / φτηνή /φτηνό,φτηνος / φτηνη /φτηνο,Uploaded
Ψηλός / ψηλή / ψηλό,ψηλος / ψηλη / ψηλο,Uploaded
Κοντός / κοντή / κοντό,κοντος / κοντη / κοντο,Uploaded
Έξυπνος /έξυπνη /έξυπνο,εξυπνος /εξυπνη /εξυπνο,Uploaded
Νόστιμος / νόστιμη / νόστιμο,νοστιμος / νοστιμη / νοστιμο,Uploaded
Αρχαίος / αρχαία / αρχαίο,αρχαιος / αρχαια / αρχαιο,Uploaded
Μέτριος / μέτρια / μέτριο,μετριος / μετρια / μετριο,Uploaded
Από ... ως / μέχρι,απο ... ως / μεχρι,Uploaded
Έχει (ένα) μονόκλινο δωμάτιο;,εχει (ενα) μονοκλινο δωματιο,Uploaded
Έχει ντους ή μπάνιο;,εχει ντους η μπανιο,Uploaded
Από τις 8 ως τις 10. / 8 με 10.,απο τις 8 ως τις 10. / 8 με 10,Uploaded
Ευθεία κάτω,ευθεια κατω,Uploaded
Βγαίνω (έξω),βγαινω (εξω),Uploaded
Μπαίνω (μέσα),μπαινω (μεσα),Uploaded
Κάνω στάση,κανω σταση,Uploaded
Απέναντι,απεναντι,Uploaded
Να > for ex: να ο Σαββας / να το βιβλίο,να > for ex: να ο σαββας / να το βιβλιο,Uploaded
Το σούπερ-μάρκετ,σουπερ-μαρκετ,Uploaded
Κυρ- / κυρα-,κυρ- / κυρα-,Uploaded
Ευχαριστημένος / ευχαριστημένη / ευχαριστημένο,ευχαριστημενος / ευχαριστημενη / ευχαριστημενο,Uploaded
Κουρασμένος / κουρασμένη / κουρασμένο,κουρασμενος / κουρασμενη / κουρασμενο,Uploaded
"Πιο αργά, παρακαλώ","πιο αργα, παρακαλω",Uploaded
Το θέατρο,θεατρο,Uploaded
Πού κάνει στάση το λεωφορείο;,που κανει σταση το λεωφορειο,Uploaded
Το αγόρι,αγορι,Uploaded
Γρήγορος / γρήγορη / γρήγορο,γρηγορος / γρηγορη / γρηγορο,Uploaded
Φρέσκος / φρέσκη / φρέσκο,φρεσκος / φρεσκη / φρεσκο,Uploaded
Βρόμικος / βρόμικη / βρόμικο,βρομικος / βρομικη / βρομικο,Uploaded
"Λευκός / λευκή / λευκό certain standard expressions using one but not the other: λευκά είδη (linen), Λευκός Οίκος (the White House) άσπρο ψωμί; άσπρα μαλλιά (white hair, but is actually one's old age); λευκά μαλλιά (hair colour)","λευκος / λευκη / λευκο certain standard expressions using one but not the other: λευκα ειδη (linen), λευκος οικος (the white house) ασπρο ψωμι; ασπρα μαλλια (white hair, but is actually one's old age); λευκα μαλλια (hair colour)",Uploaded
Χοντρός / χοντρή / χοντρό,χοντρος / χοντρη / χοντρο,Uploaded
Λεπτός / λεπτή / λεπτό,λεπτος / λεπτη / λεπτο,Uploaded
Αθλητικός / αθλητική / αθλητικό,αθλητικος / αθλητικη / αθλητικο,Uploaded
Καλοκαιρινός / καλοκαιρινή / καλοκαιρινό,καλοκαιρινος / καλοκαιρινη / καλοκαιρινο,Uploaded
Βραδινός / βραδινή / βραδινό,βραδινος / βραδινη / βραδινο,Uploaded
Μοντέρνος / μοντέρνα / μοντέρνο,μοντερνος / μοντερνα / μοντερνο,Uploaded
Καθημερινός / καθημερινή / καθημερινό,καθημερινος / καθημερινη / καθημερινο,Uploaded
Κλασικός / κλασική / κλασικό,κλασικος / κλασικη / κλασικο,Uploaded
Στενός / στενή / στενό,στενος / στενη / στενο,Uploaded
Η δωροκάρτα,δωροκαρτα,Uploaded
Παλιός / παλιά / παλιό,παλιος / παλια / παλιο,Uploaded
Η γόβα,γοβα,Uploaded
Υπάρχω,υπαρχω,Uploaded
Το πάρκιγκ,παρκιγκ,Uploaded
Συγνώμη,συγνωμη,Uploaded
Κανένας / καμιά / κανένα,κανενας / καμια / κανενα,Uploaded
Δίπλα,διπλα,Uploaded
Το πάρκο,παρκο,Uploaded
Το φουστάνι,φουστανι,Uploaded
Η παντόφλα,παντοφλα,Uploaded
Το πέδιλο,πεδιλο,Uploaded
Έχω μάθημα σε λίγο,εχω μαθημα σε λιγο,Uploaded
Πηγαίνετε ευθεία στην οδό Νίκος.,πηγαινετε ευθεια στην οδο νικος,Uploaded
Βλέπετε το φαρμακείο δεξιά.,βλεπετε το φαρμακειο δεξια,Uploaded
Εκεί στρίβετε αριστερά.,εκει στριβετε αριστερα,Uploaded
Πηγαίνετε ευθεία κάτω την οδό Αγίας Σοφίας.,πηγαινετε ευθεια κατω την οδο αγιας σοφιας,Uploaded
Στη λεωφόρο Ειρήνης.,στη λεωφορο ειρηνης,Uploaded
Και απέναντι είναι η πλατεία.,και απεναντι ειναι η πλατεια,Uploaded
Μετά από ένα τετράγωνο βλέπετε μια εκκλησία.,μετα απο ενα τετραγωνο βλεπετε μια εκκλησια,Uploaded
Δύο τετράγωνα παρακάτω.,δυο τετραγωνα παρακατω,Uploaded
Υπάρχει κανένας φούρνος εδώ κοντά;,υπαρχει κανενας φουρνος εδω κοντα,Uploaded
Το ταξίδι,ταξιδι,Uploaded
μμ = μετά το μεσημέρι,μμ = μετα το μεσημερι,Uploaded
πμ =  πριν το μεσημέρι,πμ = πριν το μεσημερι,Uploaded
Είναι μία το μεσημέρι.,ειναι μια το μεσημερι,Uploaded
Πριν,πριν,Uploaded
Το βιβλίο του Πέτρου.,βιβλιο του πετρου,Uploaded
Ο Αλέξανδρος > του Αλέξανδρου,αλεξανδρος > του αλεξανδρου,Uploaded
Ο Βαγγέλης > του Βαγγέλη,βαγγελης > του βαγγελη,Uploaded
Ο Σάββας > του Σάββα,σαββας > του σαββα,Uploaded
Είμαι το κορίτσι του Σάββα.,ειμαι το κοριτσι του σαββα,Uploaded
Η Μαρία > της Μαρίας,μαρια > της μαριας,Uploaded
Η Νεφέλη > της Νεφέλης,νεφελη > της νεφελης,Uploaded
Είμαι ο φίλος της Νεφέλης.,ειμαι ο φιλος της νεφελης,Uploaded
Μιλάω / μιλώ,μιλαω / μιλω,Uploaded
Φταίει το τρένο.,φταιει το τρενο,Uploaded
Αγαπάω,αγαπαω,Uploaded
Σταματάω,σταματαω,Uploaded
Τραγουδάω,τραγουδαω,Uploaded
Ξεκινάω,ξεκιναω,Uploaded
Περνάω (από),περναω (απο),Uploaded
Προτιμάω,προτιμαω,Uploaded
Συμφωνώ,συμφωνω,Uploaded
Με συγχωρείτε.,με συγχωρειτε,Uploaded
Εδώ γύρω.,εδω γυρω,Uploaded
